1,哈尔滨市,"45.58,126.29",黑龙江省
2,尚志市,"45.21,127.96",黑龙江省
3,五常市,"44.92,127.16",黑龙江省
4,巴彦县,"46.08,127.4",黑龙江省
5,宾县,"45.75,127.48",黑龙江省
6,方正县,"45.83,128.82",黑龙江省
7,木兰县,"45.95,128.04",黑龙江省
8,通河县,"45.97,128.75",黑龙江省
9,延寿县,"45.45,128.33",黑龙江省
10,依兰县,"46.31,129.56",黑龙江省
11,齐齐哈尔市,"47.35,123.84",黑龙江省
12,讷河市,"48.46,124.88",黑龙江省
13,拜泉县,"47.6,126.09",黑龙江省
14,富裕县,"47.77,124.47",黑龙江省
15,甘南县,"47.91,123.5",黑龙江省
16,克东县,"48.04,126.25",黑龙江省
17,克山县,"48.04,125.88",黑龙江省
18,龙江县,"47.33,123.2",黑龙江省
19,泰来县,"46.39,123.41",黑龙江省
20,依安县,"47.89,125.3",黑龙江省
21,牡丹江市,"44.57,129.55",黑龙江省
22,东宁市,"44.09,131.12",黑龙江省
23,海林市,"44.59,129.37",黑龙江省
24,穆棱市,"44.92,130.52",黑龙江省
25,宁安市,"44.34,129.48",黑龙江省
26,绥芬河市,"44.41,131.16",黑龙江省
27,林口县,"45.28,130.27",黑龙江省
28,佳木斯市,"46.8,130.31",黑龙江省
29,抚远市,"48.36,134.3",黑龙江省
30,富锦市,"46.33,132.19",黑龙江省
31,同江市,"47.64,132.5",黑龙江省
32,桦川县,"46.24,130.55",黑龙江省
33,桦南县,"46.24,130.55",黑龙江省
34,汤原县,"46.73,129.9",黑龙江省
35,大庆市,"46.58,125.1",黑龙江省
36,杜尔伯特蒙古族自治县,"46.86,124.44",黑龙江省
37,林甸县,"47.17,124.86",黑龙江省
38,肇源县,"45.52,125.08",黑龙江省
39,肇州县,"45.7,125.26",黑龙江省
40,鸡西市,"45.3,125.1",黑龙江省
41,虎林市,"45.76,132.93",黑龙江省
42,密山市,"45.53,131.84",黑龙江省
43,鸡东县,"45.26,131.12",黑龙江省
44,双鸭山市,"46.64,131.15",黑龙江省
45,宝清县,"46.33,132.19",黑龙江省
46,集贤县,"46.73,131.13",黑龙江省
47,饶河县,"46.79,134.01",黑龙江省
48,友谊县,"46.77,131.8",黑龙江省
49,伊春市,"47.72,128.84",黑龙江省
50,铁力市,"46.98,128.02",黑龙江省
51,大箐山县,"47.14,129.28",黑龙江省
52,丰林县,"48.29,129.53",黑龙江省
53,嘉荫县,"48.89,130.39",黑龙江省
54,南岔县,"47.14,129.28",黑龙江省
55,汤旺县,"48.45,129.43",黑龙江省
56,七台河市,"45.77,131.0",黑龙江省
57,勃利县,"45.75,130.57",黑龙江省
58,鹤岗市,"47.35,130.29",黑龙江省
59,萝北县,"47.57,130.84",黑龙江省
60,绥滨县,"47.29,131.85",黑龙江省
61,黑河市,"50.24,127.52",黑龙江省
62,北安市,"48.24,126.49",黑龙江省
63,嫩江市,"49.18,125.22",黑龙江省
64,五大连池市,"48.51,126.19",黑龙江省
65,孙吴县,"49.43,127.33",黑龙江省
66,逊克县,"49.57,128.48",黑龙江省
